event_type,start_date,end_date,depth,EVENT_NUMBER,EVENT_CAT,EVENT_DURATION,EVENT_ONSET_RATE,EVENT_DECLINE_RATE,EVENT_INTENSITY_MEAN,EVENT_INTENSITY_MAX,EVENT_INTENSITY_VAR,EVENT_INTENSITY_CUMULATIVE,EVENT_INTENSITY_MEAN_RELPERC,EVENT_INTENSITY_MAX_RELPERC,EVENT_INTENSITY_VAR_RELPERC,EVENT_INTENSITY_CUMULATIVE_RELPERC
MHW,2020-11-07 12:00:00,2020-11-22 12:00:00,47,22.0,1.0,16.0,0.076,0.047,1.206,1.39,0.13,19.297,0.27,0.45,0.127,4.314
MHW,2020-12-12 12:00:00,2020-12-16 12:00:00,47,23.0,1.0,5.0,0.132,0.135,1.23,1.344,0.1,6.15,0.219,0.332,0.102,1.093
MHW,2020-12-31 12:00:00,2021-01-12 12:00:00,47,24.0,2.0,13.0,0.132,0.28,1.779,2.402,0.37,23.131,0.659,1.243,0.334,8.572
MHW,2021-01-17 12:00:00,2021-02-03 12:00:00,47,25.0,1.0,18.0,0.16,0.125,1.982,2.429,0.264,35.682,0.564,1.062,0.271,10.148
MHW,2021-03-03 12:00:00,2021-03-25 12:00:00,47,26.0,1.0,23.0,0.077,0.065,1.463,1.847,0.205,33.646,0.446,0.76,0.23,10.255
MHW,2021-03-28 12:00:00,2021-04-13 12:00:00,47,27.0,1.0,17.0,0.09,0.065,1.263,1.656,0.201,21.463,0.377,0.763,0.199,6.406
MHW,2021-04-17 12:00:00,2021-04-28 12:00:00,47,28.0,1.0,12.0,0.079,0.118,1.298,1.501,0.14,15.58,0.432,0.638,0.136,5.18
MHW,2021-05-07 12:00:00,2021-05-24 12:00:00,47,29.0,1.0,18.0,0.097,0.081,1.318,1.755,0.226,23.717,0.391,0.822,0.227,7.033
MHW,2021-05-30 12:00:00,2021-06-03 12:00:00,47,30.0,1.0,5.0,0.275,0.167,1.547,1.703,0.186,7.736,0.475,0.644,0.202,2.377
MHW,2021-06-11 12:00:00,2021-06-18 12:00:00,47,31.0,1.0,8.0,0.344,0.15,1.651,1.864,0.182,13.205,0.524,0.725,0.173,4.196
MHW,2021-07-13 12:00:00,2021-07-22 12:00:00,47,32.0,2.0,10.0,0.217,0.168,1.735,2.143,0.288,17.354,0.736,1.15,0.293,7.364
